,UnixTimeStamp,eth_etherprice,eth_tx,eth_address,eth_supply,eth_marketcap,eth_hashrate,eth_difficulty,eth_blocks,eth_uncles,eth_blocksize,eth_blocktime,eth_gasprice,eth_gaslimit,eth_gasused,eth_ethersupply,eth_ens_register
644,1493856000,94.55,114877,1708629,91317072.5312,8634.02920783,23265.2011,336.421,5649,326,3351,15.25,22523480694,4285326,4146025194,29426.5625,0.0
645,1493942400,90.79,108514,1724130,91346771.4375,8293.37337881,24468.9937,349.788,5675,369,3171,15.15,22905913235,4287636,3703774549,29698.90625,0.0
646,1494028800,94.82,95014,1739516,91376474.875,8664.31734765,24415.8585,349.26,5678,362,2934,15.14,22254507120,4289623,3895528821,29703.4375,0.0
647,1494115200,90.46,106631,1758488,91406355.0312,8268.61887613,24862.0244,353.593,5718,357,3322,15.07,22863576069,4299139,4383783590,29880.15625,0.0
648,1494201600,88.39,117509,1777158,91435780.9688,8082.00867983,24481.3196,353.82800000000003,5640,338,3409,15.24,22304778708,4297193,4371120763,29425.9375,0.0
649,1494288000,86.27,112933,1797526,91465535.9688,7890.73178802,25606.8006,365.57,5672,380,3376,15.13,22419891708,4298025,4941861347,29755.0,29.0
650,1494374400,87.83,109673,1817872,91495150.8125,8036.01909586,25352.2733,363.67900000000003,5648,375,3227,15.19,22141501610,4300551,4977215293,29614.84375,188.0
651,1494460800,88.2,117189,1837631,91524885.3438,8072.49488732,25792.7606,369.26199999999994,5702,333,3352,15.03,22276386524,4298185,5037332202,29734.53125,318.0
652,1494547200,85.15,107241,1853657,91554775.0312,7795.88909391,26696.7857,379.251,5688,394,3154,15.1,22224260597,4300839,5266065050,29889.6875,343.0
653,1494633600,87.96,101332,1867571,91584028.3125,8055.73113037,26056.3076,378.491,5591,357,3065,15.39,22176736929,4303966,5077306379,29253.28125,631.0
654,1494720000,88.72,101348,1881351,91612245.8125,8127.83844849,26882.1696,404.779,5402,336,3140,15.92,22054420864,4301829,5160924870,28217.5,603.0
655,1494806400,90.32,122792,1899209,91640708.1562,8276.98876067,27814.0407,414.048,5401,403,3831,15.9,22225479222,4300418,6301530936,28462.34375,1267.0
656,1494892800,87.8,116341,1919681,91669426.125,8048.57561378,28230.111,417.08,5457,391,3644,15.67,22338079736,4306289,6372683499,28717.96875,935.0
657,1494979200,86.98,140135,1942480,91697325.0312,7975.83333122,26762.9284,408.10400000000004,5325,341,4305,16.1,26658490658,4311905,7720771554,27898.90625,1104.0
658,1495065600,95.88,137409,1964727,91725805.8125,8794.6702613,27740.2141,414.44800000000004,5462,321,4245,15.74,22641931556,4305758,7193965880,28480.78125,1127.0
659,1495152000,124.38,161568,1993428,91754187.0625,11412.385786799998,28816.636000000002,431.65,5424,344,4801,15.83,22510140833,4312190,8397664033,28381.25,1694.0
